date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:04	113855/113855	---M-Z	200	added ('OK')	text/html	etag:%221bcbf-5e15065516ac3-gzip%22	https://coderthemes.com/ubold/layouts/creative/dashboard-2.html	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/dashboard-2.html	(from )
15:20:05	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2008:20:00%20GMT	https://coderthemes.com/robots.txt		(from )
15:20:05	692/692	---M-Z	200	added ('OK')	text/css	etag:%222b4-5e1506f2a8b6f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:06	247156/247156	---M-Z	200	added ('OK')	text/css	etag:%223c574-5e1506f29146f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/css/bootstrap.min.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/css/bootstrap.min.css	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:06	115407/115407	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221c2cf-5e1506f2a1e0f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/favicon.ico	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/favicon.ico	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:08	187239/187239	---M-Z	200	added ('OK')	text/css	etag:%222db67-5e1506f2904cf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/css/app.min.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/css/app.min.css	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:08	120/120	---M-Z	200	added ('OK')	application/javascript	etag:%2278-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/head.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/head.js	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:08	471205/471205	---MCZ	200	added ('OK')	text/css	etag:%22730a5-5e1506f29146f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/css/icons.min.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/css/icons.min.css	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:08	2967/2967	---M--	200	added ('OK')	image/jpeg	etag:%22b97-5e1506f2a5c8f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/users/user-2.jpg	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/users/user-2.jpg	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:08	3773/3773	---M--	200	added ('OK')	image/jpeg	etag:%22ebd-5e1506f2a6c2f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/users/user-5.jpg	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/users/user-5.jpg	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:09	2276/2276	---M--	200	added ('OK')	image/png	etag:%228e4-5e1506f2a1e0f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/brands/slack.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/brands/slack.png	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:09	1425/1425	---M--	200	added ('OK')	image/png	etag:%22591-5e1506f2a1e0f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/brands/github.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/brands/github.png	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:09	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5e1506f2a1e0f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/brands/dribbble.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/brands/dribbble.png	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:09	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5e1506f2a1e0f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/brands/bitbucket.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/brands/bitbucket.png	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
15:20:10	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5e1506f2a1e0f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/brands/dropbox.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/brands/dropbox.png	(from https://coderthemes.com/ubold/layouts/creative/dashboard-2.html)
